data_collector,person_id,units,writing,eye,eye_color,swinging,age,gender,quality,minutes,ethnicity,notes
051a9911de7b5bbc610b76f4eda834a0,5d44a032652974c3e53644945a95b126,in,right,right,blue,right,58,female,9,NA,caucasian,
5d44a032652974c3e53644945a95b126,051a9911de7b5bbc610b76f4eda834a0,in,right,left,brown,right,59,male,9,NA,caucasian,
d0fa06cd93335c8cae357ffe5cd1c4e9,ee33e909372d935d190f4fcb2a92d542,in,right,both,green,right,27,female,8,15,caucasian,
ee33e909372d935d190f4fcb2a92d542,d0fa06cd93335c8cae357ffe5cd1c4e9,in,right,right,brown,right,28,male,8,15,asian/latino,
1f2dfa567dcf95833eddf7aec167fec7,fd4c92272d5a952adf7aad11c20458e1,in,right,right,brown,right,25,male,9,NA,caucasian,
fd4c92272d5a952adf7aad11c20458e1,1f2dfa567dcf95833eddf7aec167fec7,in,right,right,blue,right,24,female,9,NA,caucasian,
e2075474294983e013ee4dd2201c7a73,1e7342845e24eb3b5b3554490da1c128,in,right,left,blue,right,28,male,9,18.5,caucasian,
1e7342845e24eb3b5b3554490da1c128, e2075474294983e013ee4dd2201c7a73,in,right,right,brown,right,28,female,9,18.5,caucasian,
ef1cb6e72d149b184cc241037203f60b,3691308f2a4c2f6983f2880d32e29c84,in,right,right,brown,right,26,female,8,17,asian/latino,
3691308f2a4c2f6983f2880d32e29c84,ef1cb6e72d149b184cc241037203f60b,in,right,both,brown,right,26,male,8,17,asian,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,